Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
PCMax	Graph_100_5001_C	5000	0.7407407407407407	1.0	0.6371681415929203	0.72	106.0	0.851063829787234	0.6760563380281691
PCMax	Graph_100_5002_C	5000	0.6598639455782312	0.97	0.5897435897435898	0.69	139.0	0.7854251012145749	0.6359447004608294
PCMax	Graph_100_5003_C	5000	0.6802721088435374	1.0	0.6311475409836066	0.77	123.0	0.8097165991902835	0.6936936936936937
PCMax	Graph_100_5004_C	5000	0.6758620689655173	0.98	0.5891472868217055	0.76	131.0	0.8	0.663755458515284
PCMax	Graph_100_5005_C	5000	0.7333333333333333	0.99	0.6605504587155964	0.72	108.0	0.8425531914893618	0.6889952153110047
PCMax	Graph_100_5006_C	5000	0.6896551724137931	1.0	0.5691056910569106	0.7	131.0	0.8163265306122449	0.6278026905829596
PCMax	Graph_100_5007_C	5000	0.7246376811594203	1.0	0.6293103448275862	0.73	111.0	0.8403361344537814	0.6759259259259258
PCMax	Graph_100_5008_C	5000	0.7246376811594203	1.0	0.6228070175438597	0.71	114.0	0.8403361344537814	0.663551401869159
PCMax	Graph_100_5009_C	5000	0.7071428571428572	0.99	0.5932203389830508	0.7	125.0	0.8250000000000001	0.6422018348623852
PCMax	Graph_100_5010_C	5000	0.7333333333333333	0.99	0.646551724137931	0.75	106.0	0.8425531914893618	0.6944444444444444
PCMax	Graph_100_5011_C	5000	0.7246376811594203	1.0	0.6065573770491803	0.74	114.0	0.8403361344537814	0.6666666666666666
PCMax	Graph_100_5012_C	5000	0.6510067114093959	0.97	0.5338345864661654	0.71	150.0	0.7791164658634538	0.6094420600858368
PCMax	Graph_100_5013_C	5000	0.6971830985915493	0.99	0.5785123966942148	0.7	132.0	0.8181818181818182	0.6334841628959275
PCMax	Graph_100_5014_C	5000	0.7028985507246377	0.97	0.5967741935483871	0.74	123.0	0.8151260504201681	0.6607142857142857
PCMax	Graph_100_5015_C	5000	0.6802721088435374	1.0	0.5354330708661418	0.68	144.0	0.8097165991902835	0.5991189427312776
PCMax	Graph_100_5016_C	5000	0.7424242424242424	0.98	0.6607142857142857	0.74	104.0	0.8448275862068965	0.6981132075471698
